date,retweets,favorites,text,permalink
8/27/18 8:50,0,0,"Good morning, the signal problem is what caused the brakes to automatically activate. Initially, the reason was unknown until the train crew investigated and came to the conclusion of the signal problems. The train moved out a while ago.^SL",https://twitter.com/NYCTSubway/status/1034060484713099264
8/27/18 8:48,0,0,so it wasn't the automatically activated brakes at DeKalb?,https://twitter.com/martzart/status/1034059990699569154
8/27/18 8:40,0,0,"That train has moved out, the reason behind the brakes activating is because of a signal problem. Fortunately, our crews are on the scene right now and we're hoping it will be resolved quickly. ^SL",https://twitter.com/NYCTSubway/status/1034057989249028096
8/27/18 8:23,3,2,Northbound D and N trains are running with delays because a train's brakes were automatically activated at DeKalb Av and we are investigating the cause.,https://twitter.com/NYCTSubway/status/1034053684177645568
8/27/18 8:20,0,0,@ NYCTSubway just heard there’s a D train on the bridge with its emergency brakes activated... any update?,https://twitter.com/clairesjoyce/status/1034053076125143040
8/27/18 0:04,0,0,"We have an update. Your train brakes were automatically activated. The train crew is actively investigating the cause now to get it moving. To ensure the safety of everyone and train, we attempt to determine why its brakes activated. 1/2",https://twitter.com/NYCTSubway/status/1033928328414208000
8/26/18 23:45,0,1,"HI. It actually isn't an increase in brakes automatically being activated. It's simply a more transparent way that we're informing our customers. We've previously used the term mechanical problems"" instead to generalize incidents.1/2 ^GES""",https://twitter.com/NYCTSubway/status/1033923515848843264
8/26/18 23:41,0,0,How many times in the last 2 weeks have there been issues with a trains brakes activating incorrectly? Because it seems higher than usual.,https://twitter.com/NotBenWald/status/1033922483521572869
8/26/18 19:09,3,5,Southbound A and D trains are running with delays because a train's brakes were automatically activated at 59 St-Columbus Circle.,https://twitter.com/NYCTSubway/status/1033854018299330563
8/26/18 17:38,6,6,34 St-Hudson Yards bound 7 trains are running with delays because of a train's brakes were automatically activated at Times Square-42 St.,https://twitter.com/NYCTSubway/status/1033831001422811136
8/26/18 11:50,2,7,Cresecent St-bound J trains are running with delays because a train's brakes were automatically activated at 85 St.,https://twitter.com/NYCTSubway/status/1033743413450039296
8/26/18 11:47,4,7,Crescent St-bound J trains are running with delays because a train's brakes were automatically activated at 85 St.,https://twitter.com/NYCTSubway/status/1033742615727026176
